Date,Year,Month,Quarter,DayOfWeek,Open,High,Low,Close,Volume,Daily_Return_Pct,Cumulative_Return_Pct,Annual_Return_Pct,Volatility_21D,SMA_7,SMA_21,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI_14,BB_Upper,BB_Mid,BB_Lower,BB_Width,ATR_14,OBV
2016-01-11,2016,1,1,Monday,1926.12,1935.65,1901.1,1923.67,4607290000,0.0853,1718.9,-4.42,1.17,1978.91,2023.16,2055.59,2057.64,1992.7,2021.09,-28.39,-14.5298,-13.8602,30.11,2114.61,2021.71,1928.81,0.0919,29.69,872162630000.0
2016-01-12,2016,1,1,Tuesday,1927.83,1947.38,1914.35,1938.68,4887260000,0.7803,1733.09,-3.68,1.1884,1963.87,2017.76,2052.57,2057.03,1984.39,2014.98,-30.59,-17.7418,-12.8482,34.1,2118.05,2018.03,1918.0,0.0991,29.93,877049890000.0
2016-01-13,2016,1,1,Wednesday,1940.34,1950.33,1886.41,1890.28,5087030000,-2.4965,1687.33,-6.08,1.2328,1946.39,2011.94,2048.79,2056.05,1969.91,2005.75,-35.84,-21.3615,-14.4785,28.45,2126.58,2011.44,1896.31,0.1145,32.36,871962860000.0
2016-01-14,2016,1,1,Thursday,1891.68,1934.47,1878.93,1921.84,5241110000,1.6696,1717.17,-4.51,1.2958,1932.84,2007.18,2045.14,2055.32,1962.51,1999.53,-37.02,-24.4932,-12.5268,35.91,2126.09,2005.36,1884.64,0.1204,34.01,877203970000.0
2016-01-15,2016,1,1,Friday,1916.68,1916.68,1857.83,1880.33,5468460000,-2.1599,1677.92,-6.57,1.3252,1917.13,1999.41,2040.56,2054.42,1949.87,1990.7,-40.83,-27.7605,-13.0695,31.29,2124.22,1995.73,1867.23,0.1288,36.15,871735510000.0
2016-01-19,2016,1,1,Tuesday,1888.66,1901.44,1864.6,1881.33,4928350000,0.0532,1678.87,-6.53,1.2618,1908.31,1990.28,2036.14,2053.49,1939.33,1982.6,-43.27,-30.8624,-12.4076,31.52,2123.88,1987.7,1851.52,0.137,36.2,876663860000.0
2016-01-20,2016,1,1,Wednesday,1876.18,1876.18,1812.29,1859.33,6416070000,-1.1694,1658.07,-7.62,1.2499,1899.35,1981.59,2031.32,2052.38,1927.02,1973.47,-46.45,-33.9799,-12.4701,29.22,2127.77,1980.39,1833.0,0.1488,38.55,870247790000.0
2016-01-21,2016,1,1,Thursday,1861.46,1889.85,1848.98,1868.99,5078810000,0.5195,1667.2,-7.14,1.227,1891.54,1975.08,2026.72,2051.35,1918.09,1965.73,-47.64,-36.712,-10.928,31.58,2126.86,1972.78,1818.7,0.1562,38.71,875326600000.0
2016-01-22,2016,1,1,Friday,1877.4,1908.85,1877.4,1906.9,4901760000,2.0284,1703.04,-5.25,1.3108,1887.0,1969.64,2023.29,2050.47,1916.37,1961.37,-45.0,-38.3696,-6.6304,40.04,2119.64,1966.18,1812.72,0.1561,38.8,880228360000.0
2016-01-25,2016,1,1,Monday,1906.28,1906.28,1875.97,1877.08,4401380000,-1.5638,1674.85,-6.74,1.3122,1885.11,1961.93,2019.19,2049.4,1910.33,1955.13,-44.8,-39.6556,-5.1444,36.24,2107.9,1956.82,1805.74,0.1544,38.23,875826980000.0
2016-01-26,2016,1,1,Tuesday,1878.79,1906.73,1878.79,1903.63,4357940000,1.4144,1699.95,-5.42,1.3234,1882.51,1954.28,2015.77,2048.41,1909.3,1951.31,-42.01,-40.1265,-1.8835,41.56,2093.43,1948.95,1804.47,0.1483,37.62,880184920000.0
2016-01-27,2016,1,1,Wednesday,1902.52,1916.99,1872.7,1882.95,4754040000,-1.0863,1680.4,-6.44,1.3312,1882.89,1945.81,2012.51,2047.36,1905.24,1946.25,-41.01,-40.3032,-0.7068,38.84,2078.26,1940.27,1802.28,0.1422,38.1,875430880000.0
2016-01-28,2016,1,1,Thursday,1885.22,1902.96,1873.65,1893.36,4693010000,0.5529,1690.24,-5.93,1.3476,1884.61,1938.04,2009.91,2046.35,1903.41,1942.33,-38.92,-40.0266,1.1066,40.93,2054.02,1931.02,1808.02,0.1274,37.47,880123890000.0
2016-01-29,2016,1,1,Friday,1894.0,1940.24,1894.0,1940.24,5497570000,2.476,1734.57,-3.6,1.4545,1896.16,1931.46,2007.65,2045.52,1909.08,1942.18,-33.1,-38.6413,5.5413,49.34,2031.17,1924.87,1818.56,0.1105,38.14,885621460000.0
